,ID,location_name,lat,long,location_name_Initial
9657,2362893,Bangassoko,13.311860000000001,-2.91375,B
9636,2362872,Bangassomba,13.139879999999998,-2.19273,B
10814,11911127,Bangassompissen,12.43784,-1.8038299999999998,B
9660,2362896,Bangassé,13.194170000000002,-1.0894,B
9661,2362897,Bangassé,13.09933,-2.59479,B
9656,2362892,Bangataka,13.98489,-0.40437,B
9655,2362891,Bangay,13.01977,-0.30684,B
9654,2362890,Bangbé Térbi,14.259689999999999,-0.05749,B
9638,2362874,Bangma,12.15895,-1.61871,B
11127,12199927,Bangmiougou,13.491589999999999,-1.12473,B
9651,2362887,Bango,13.32289,-1.5294,B
9650,2362886,Bango,13.662679999999998,-2.54466,B
9649,2362885,Bango,10.55,-4.36667,B
9648,2362884,Bango,11.4111,-4.36651,B
9647,2362883,Bango,13.62225,-2.95427,B
9646,2362882,Bango Béro,14.233329999999999,0.28333,B
9645,2362881,Bango Mossi,13.65,-2.53333,B
9644,2362880,Bangonadji,14.68675,-0.35011,B
9643,2362879,Bangoué,10.41667,-3.81667,B
9642,2362878,Bangozougou,12.16667,-2.4333299999999998,B
11016,11980312,Bangressen,12.19993,-1.20965,B
9830,2363066,Bangrin,12.5295,-1.36242,B
9641,2362877,Bangré,12.99386,-1.4125299999999998,B
9551,2362782,Bangré,12.15479,-1.32843,B
9640,2362876,Bangrézanga,12.25,-0.81667,B
11023,11980327,Banguesom,12.48665,-1.1617899999999999,B
9652,2362888,Banguessom,12.05153,-1.9453599999999998,B
9637,2362873,Banguessoum,12.421560000000001,-1.79882,B
9635,2362871,Banguiou,11.68333,-3.16667,B
9634,2362870,Banguissamé,11.76667,-1.16667,B
9639,2362875,Banguèl Dao,14.22025,-0.14764000000000002,B
9653,2362889,Bangèl,13.27069,0.4154,B
10761,11257297,Banh,14.083,-2.45,B
9326,2362557,Banh,13.79265,-2.70945,B
9631,2362867,Banhié,10.26667,-2.88333,B
9630,2362866,Banhounou,10.26667,-3.93333,B
9629,2362865,Bani,13.366670000000001,-0.26666999999999996,B
8377,2361603,Bani,13.72139,-0.17222,B
9628,2362864,Bani,13.64189,-1.49266,B
9627,2362863,Bani,14.01675,-1.70111,B
9626,2362862,Bani,14.21884,-2.57727,B
9625,2362861,Bania,14.572000000000001,-1.8566,B
9624,2362860,Baniaba,13.36377,0.7034600000000001,B
9623,2362859,Baniara,10.2,-3.15,B
9622,2362858,Banika,13.51716,0.406,B
11214,12253551,Banikani,14.20486,-1.6756400000000002,B
9621,2362856,Baniossori,11.36667,-2.53333,B
9620,2362855,Baniotenga,12.86667,-2.71667,B
9619,2362854,Baniou,13.00115,-2.14146,B
9618,2362853,Banipoulé,10.58333,-2.96667,B
9617,2362852,Baniri,11.21667,-3.3666699999999996,B
9616,2362850,Bankandi,11.25,-3.0666700000000002,B
9615,2362849,Bankatatougou,12.28969,1.0595299999999999,B
10962,11948025,Bankiemdé,12.89471,-1.0588,B
9614,2362848,Bankoni,11.63333,-3.7,B
9613,2362847,Bankorosso Gamadou,12.31667,-3.1,B
9612,2362845,Bankouma,13.2527,-4.1892,B
9611,2362844,Bankouman,11.91667,-3.56667,B
9609,2362842,Bankoumani,13.0657,-4.25884,B
9610,2362843,Bankoumani,12.61667,-3.91667,B
9608,2362841,Bankoura,10.16667,-3.15,B
9607,2362840,Bankui,12.61667,-3.56667,B
